Division,Batch-Transaction ID,Transaction Date,Card Posting Dt,Merchant Name,Transaction Amt.,Trx.Currency,Original Amount,Original Currency,G/L Account,G/L Account Description,Cost Center / WBS Element / Order,Cost Center / WBS Element / Order Description,Merchant Type,Merchant Type Description,Purpose
"PARKS, FORESTRY & RECREATION",5291-387,7/5/2019,7/5/2019,METRO #79,22.59,CAD,22.59,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,P13070,GEN INTRST & CLUBS - ST LEONARDS CHURCH,5411,"Grocery Stores, Supermarkets",PROPANE
"PARKS, FORESTRY & RECREATION",5293-81,7/6/2019,7/6/2019,DOLLARAMA #1191,20.34,CAD,20.34,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P13251,SUMMER CAMPS - BEDFORD PARK CC,5310,Discount Stores,"PLAY DOH, FREEZIES"
"PARKS, FORESTRY & RECREATION",5293-82,7/7/2019,7/7/2019,NOFRILLS VITO S #3936,31.04,CAD,31.04,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P13070,GEN INTRST & CLUBS - ST LEONARDS CHURCH,5411,"Grocery Stores, Supermarkets","SALAD, CUCUMBER, LETTUCE"
"PARKS, FORESTRY & RECREATION",5293-83,7/5/2019,7/5/2019,WAL-MART # 3145,228.96,CAD,228.96,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P13070,GEN INTRST & CLUBS - ST LEONARDS CHURCH,5411,"Grocery Stores, Supermarkets","CORNSTARCH, PAILS, GAMES, JELLO"
"PARKS, FORESTRY & RECREATION",5295-131,7/8/2019,7/8/2019,NOFRILLS DINOS 289,7.10,CAD,7.10,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P13070,GEN INTRST & CLUBS - ST LEONARDS CHURCH,5411,"Grocery Stores, Supermarkets",SALAD
"PARKS, FORESTRY & RECREATION",5298-456,7/12/2019,7/15/2019,FOOD BASICS #867,17.84,CAD,17.84,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P13070,GEN INTRST & CLUBS - ST LEONARDS CHURCH,5411,"Grocery Stores, Supermarkets",FOOD FOR PROGRAM
"PARKS, FORESTRY & RECREATION",5300-159,7/16/2019,7/17/2019,SQ  SQ  DAVID LOWE THE,160.00,CAD,160.00,CAD,4118,TICKETS AND ADMISSION FEES,P13251,SUMMER CAMPS - BEDFORD PARK CC,7929,"Bands, Orchestras, and Miscellaneous Ent",DRUM WORKSHOP
"PARKS, FORESTRY & RECREATION",5300-160,7/16/2019,7/17/2019,DOLLARAMA #0978,11.36,CAD,11.36,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P13070,GEN INTRST & CLUBS - ST LEONARDS CHURCH,5310,Discount Stores,"DISPLAY BOARDS, PITCHERS"
"PARKS, FORESTRY & RECREATION",5301-168,7/16/2019,7/18/2019,WAL-MART # 3145,47.45,CAD,47.45,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P13251,SUMMER CAMPS - BEDFORD PARK CC,5411,"Grocery Stores, Supermarkets","FREEZIES, CLEMENTINES"
"PARKS, FORESTRY & RECREATION",5305-185,7/23/2019,7/24/2019,MICHAELS #3983,118.65,CAD,118.65,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P13251,SUMMER CAMPS - BEDFORD PARK CC,5945,"Game, Toy, and Hobby Shops",GLUE
"PARKS, FORESTRY & RECREATION",5305-186,7/23/2019,7/24/2019,MICHAELS #3983,23.70,CAD,23.70,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P13251,SUMMER CAMPS - BEDFORD PARK CC,5945,"Game, Toy, and Hobby Shops",PLASTICINE
"PARKS, FORESTRY & RECREATION",5305-187,7/23/2019,7/24/2019,MICHAELS #3983,23.70,CAD,23.70,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P13251,SUMMER CAMPS - BEDFORD PARK CC,5945,"Game, Toy, and Hobby Shops",PLASTICINE
"PARKS, FORESTRY & RECREATION",5306-181,7/24/2019,7/25/2019,REAL CANADIAN WHOLESAL,40.08,CAD,40.08,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P12663,NORTH - GENERAL REGION - INTEGRATION SER,5411,"Grocery Stores, Supermarkets",FOOD ITEMS
"PARKS, FORESTRY & RECREATION",5306-182,7/24/2019,7/25/2019,REAL CANADIAN WHOLESAL,52.41,CAD,52.41,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P13251,SUMMER CAMPS - BEDFORD PARK CC,5411,"Grocery Stores, Supermarkets","ICE CREAM, BURGERS, FOAM CUPS"
"PARKS, FORESTRY & RECREATION",5306-183,7/23/2019,7/25/2019,WAL-MART # 3145,20.26,CAD,20.26,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P13251,SUMMER CAMPS - BEDFORD PARK CC,5411,"Grocery Stores, Supermarkets","CONTACT SOLUTION, POPCORN"
"PARKS, FORESTRY & RECREATION",5307-206,7/25/2019,7/26/2019,DURANTE'S NO FRILLS 31,23.17,CAD,23.17,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P13070,GEN INTRST & CLUBS - ST LEONARDS CHURCH,5411,"Grocery Stores, Supermarkets","MILK, LETTUCE, TOMATOES, WIPES"
"PARKS, FORESTRY & RECREATION",5307-207,7/24/2019,7/26/2019,WAL-MART # 3145,56.47,CAD,56.47,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,P01878,ST ANDREWS JHS-SPORTS,5411,"Grocery Stores, Supermarkets",MICROWAVE
"PARKS, FORESTRY & RECREATION",5309-132,7/29/2019,7/30/2019,NOFRILLS DINOS 289,14.69,CAD,14.69,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P13251,SUMMER CAMPS - BEDFORD PARK CC,5411,"Grocery Stores, Supermarkets","MARSHMALLOWS, COLA"
"PARKS, FORESTRY & RECREATION",5310-159,7/29/2019,7/31/2019,CDN TIRE STORE #00653,4.50,CAD,4.50,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P13251,SUMMER CAMPS - BEDFORD PARK CC,5200,Home Supply Warehouse,WASHERS FOR HOSE
"PARKS, FORESTRY & RECREATION",5310-160,7/29/2019,7/31/2019,CDN TIRE STORE #00653,10.17,CAD,10.17,CAD,2999,MISCELLANEOUS MATERIALS & SUPPLIES,P13251,SUMMER CAMPS - BEDFORD PARK CC,5200,Home Supply Warehouse,HARDWARE
,,,,,"1,267.96",CAD,"1,267.96",CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5291-388,7/5/2019,7/5/2019,BEST BUY #53,30.49,CAD,30.49,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P01050,SPECIAL EVENTS - MEL LASTMAN SQUARE,5732,Electronic Sales,AUDIO AUX AND ADAPTER
"PARKS, FORESTRY & RECREATION",5302-170,7/18/2019,7/19/2019,BEST BUY #53,28.24,CAD,28.24,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P01050,SPECIAL EVENTS - MEL LASTMAN SQUARE,5732,Electronic Sales,AC POWER BAR FOR SQ BOOMBOX
,,,,,58.73,CAD,58.73,CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5288-143,6/29/2019,7/1/2019,METRO #475,24.73,CAD,24.73,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04022,CEDARBROOK CC-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets","ICING, MARSHMALLOWS, EGGS"
"PARKS, FORESTRY & RECREATION",5289-87,7/2/2019,7/2/2019,DOLLARAMA #0986,28.25,CAD,28.25,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04022,CEDARBROOK CC-SUMMER CAMPS,5310,Discount Stores,"PLAYING CARDS, HOLE PUNCH"
"PARKS, FORESTRY & RECREATION",5290-157,7/3/2019,7/3/2019,R K BARGAINS,12.58,CAD,12.58,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04022,CEDARBROOK CC-SUMMER CAMPS,5310,Discount Stores,ADVENTURE CAMP SUPPLIES
"PARKS, FORESTRY & RECREATION",5291-389,7/5/2019,7/5/2019,COSTCO BUSINESS CENTER,70.27,CAD,70.27,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04022,CEDARBROOK CC-SUMMER CAMPS,5300,Wholesale Clubs,"FREEZIES, ICE CREAM"
"PARKS, FORESTRY & RECREATION",5291-390,7/4/2019,7/4/2019,ONTARIO SCIENCE CENTRE,22.00,CAD,22.00,CAD,4118,TICKETS AND ADMISSION FEES,P04022,CEDARBROOK CC-SUMMER CAMPS,7991,Tourist Attractions and Exhibits,CAMP TRIP
"PARKS, FORESTRY & RECREATION",5293-84,7/6/2019,7/6/2019,COSTCO WHOLESALE W537,72.29,CAD,72.29,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04022,CEDARBROOK CC-SUMMER CAMPS,5300,Wholesale Clubs,WATER BALLOONS
"PARKS, FORESTRY & RECREATION",5293-85,7/6/2019,7/6/2019,THE HOME DEPOT #7001,21.84,CAD,21.84,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04022,CEDARBROOK CC-SUMMER CAMPS,5200,Home Supply Warehouse,2X CANYN BLK
"PARKS, FORESTRY & RECREATION",5293-86,7/7/2019,7/7/2019,DOLLARAMA # 381,38.42,CAD,38.42,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04022,CEDARBROOK CC-SUMMER CAMPS,5310,Discount Stores,"COFFEE FILTERS, PEBBLES"
"PARKS, FORESTRY & RECREATION",5293-87,7/7/2019,7/7/2019,DOLLARAMA # 381,50.85,CAD,50.85,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04022,CEDARBROOK CC-SUMMER CAMPS,5310,Discount Stores,RHINESTONES
"PARKS, FORESTRY & RECREATION",5293-88,7/7/2019,7/7/2019,DOLLAR TREE #40209,7.06,CAD,7.06,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04022,CEDARBROOK CC-SUMMER CAMPS,5331,Variety Stores,GLITTER PENS
"PARKS, FORESTRY & RECREATION",5293-89,7/7/2019,7/7/2019,COSTCO BUSINESS CENTER,49.64,CAD,49.64,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04022,CEDARBROOK CC-SUMMER CAMPS,5300,Wholesale Clubs,CAMP SUPPLIES
"PARKS, FORESTRY & RECREATION",5293-90,7/7/2019,7/7/2019,METRO #475,11.97,CAD,11.97,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04022,CEDARBROOK CC-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets",NEWSPAPER
"PARKS, FORESTRY & RECREATION",5298-457,7/13/2019,7/15/2019,PAYPAL  HOOPERSONIC,458.59,CAD,458.59,CAD,4118,TICKETS AND ADMISSION FEES,P04022,CEDARBROOK CC-SUMMER CAMPS,7929,"Bands, Orchestras, and Miscellaneous Ent",CAMP TRIP
"PARKS, FORESTRY & RECREATION",5298-458,7/13/2019,7/15/2019,DOLLARAMA #0986,28.53,CAD,28.53,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04022,CEDARBROOK CC-SUMMER CAMPS,5310,Discount Stores,"STORAGE BOX, BALLOONS"
"PARKS, FORESTRY & RECREATION",5298-459,7/14/2019,7/15/2019,METRO #475,44.82,CAD,44.82,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04022,CEDARBROOK CC-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets",CHIA SEED
"PARKS, FORESTRY & RECREATION",5301-169,7/17/2019,7/18/2019,DOLLARAMA #0986,21.47,CAD,21.47,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04022,CEDARBROOK CC-SUMMER CAMPS,5310,Discount Stores,CAMP SUPPLIES
"PARKS, FORESTRY & RECREATION",5302-171,7/18/2019,7/19/2019,NOFRILLS DAVE'S #3924,23.97,CAD,23.97,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04022,CEDARBROOK CC-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets",ICE CREAM
"PARKS, FORESTRY & RECREATION",5302-172,7/18/2019,7/19/2019,DOLLARAMA # 225,2.83,CAD,2.83,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04022,CEDARBROOK CC-SUMMER CAMPS,5310,Discount Stores,DECORATIVE GLASS
"PARKS, FORESTRY & RECREATION",5302-173,7/18/2019,7/19/2019,METRO #475,27.85,CAD,27.85,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04022,CEDARBROOK CC-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets",CARNATIONS
"PARKS, FORESTRY & RECREATION",5303-260,7/18/2019,7/22/2019,KENNEDY BOWL,512.70,CAD,512.70,CAD,4118,TICKETS AND ADMISSION FEES,P04022,CEDARBROOK CC-SUMMER CAMPS,7933,Bowling Alleys,CAMP TRIP
"PARKS, FORESTRY & RECREATION",5303-261,7/20/2019,7/22/2019,MICHAELS #4918,53.31,CAD,53.31,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04022,CEDARBROOK CC-SUMMER CAMPS,5945,"Game, Toy, and Hobby Shops","CLAY POTS, BALLS"
"PARKS, FORESTRY & RECREATION",5303-262,7/20/2019,7/22/2019,COSTCO BUSINESS CENTER,18.59,CAD,18.59,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04022,CEDARBROOK CC-SUMMER CAMPS,5300,Wholesale Clubs,ICE CREAM
"PARKS, FORESTRY & RECREATION",5303-263,7/20/2019,7/22/2019,DOLLARAMA #0986,100.53,CAD,100.53,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04022,CEDARBROOK CC-SUMMER CAMPS,5310,Discount Stores,SHEET PROTECTORS
"PARKS, FORESTRY & RECREATION",5303-264,7/21/2019,7/22/2019,METRO #475,57.94,CAD,57.94,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04022,CEDARBROOK CC-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets","VEG OIL, FOOD COLOURING"
"PARKS, FORESTRY & RECREATION",5310-161,7/30/2019,7/31/2019,FRUGO(CEDARBRAE MALL),22.77,CAD,22.77,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04022,CEDARBROOK CC-SUMMER CAMPS,5310,Discount Stores,WRAPPING PAPER
"PARKS, FORESTRY & RECREATION",5310-162,7/30/2019,7/31/2019,DOLLARAMA # 381,16.67,CAD,16.67,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04022,CEDARBROOK CC-SUMMER CAMPS,5310,Discount Stores,"STYROFOAM BALLS, PAINT BRUSH"
"PARKS, FORESTRY & RECREATION",5310-163,7/30/2019,7/31/2019,DOLLARAMA #0986,150.46,CAD,150.46,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04022,CEDARBROOK CC-SUMMER CAMPS,5310,Discount Stores,"RING TOSS, BEADS"
"PARKS, FORESTRY & RECREATION",5310-164,7/30/2019,7/31/2019,PARTY CITY #2007,45.16,CAD,45.16,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04022,CEDARBROOK CC-SUMMER CAMPS,5947,"Card, Gift, Novelty, and Souvenir Shops",BALLOONS
"PARKS, FORESTRY & RECREATION",5310-165,7/30/2019,7/31/2019,MICHAELS #4918,76.81,CAD,76.81,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04022,CEDARBROOK CC-SUMMER CAMPS,5945,"Game, Toy, and Hobby Shops",TIE DYE
,,,,,"2,072.90",CAD,"2,072.90",CAD,,,,,,,
EMPLOYMENT & SOCIAL SERVICES,5301-170,7/17/2019,7/18/2019,CO-OP CABS,80.99,CAD,80.99,CAD,4452,TRANSPORTATION-TAXIS-CLIENTS,C03274,CONSILIUM  PLACE SPECIAL NEEDS OW,4121,Limousines and Taxicabs,"EMERGENCY TRANSPORTATION FOR CLIENTS     BILLING PERIOD JULY 1-31, 2019"
,,,,,80.99,CAD,80.99,CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5288-144,6/29/2019,7/1/2019,DOLLARAMA # 230,104.47,CAD,104.47,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P03445,FAIRMOUNT-SPORTS&REC-CAMPS-SUMMER CAMPS,5310,Discount Stores,CAMP SUPPLIES
"PARKS, FORESTRY & RECREATION",5288-145,6/29/2019,7/1/2019,CDN TIRE STORE #00070,22.59,CAD,22.59,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P13463,TEY - CAN BIKE - INSTRUCTIONAL PRG,5200,Home Supply Warehouse,CANBIKE PROGRAM SUPPLY
"PARKS, FORESTRY & RECREATION",5291-391,7/5/2019,7/5/2019,JUST FOR FUN  PARTY AN,144.08,CAD,144.08,CAD,4118,TICKETS AND ADMISSION FEES,P03445,FAIRMOUNT-SPORTS&REC-CAMPS-SUMMER CAMPS,7996,"Amusement Parks, Carnivals, Circuses, Fo",CAMP TRIP
"PARKS, FORESTRY & RECREATION",5293-91,7/7/2019,7/7/2019,DOLLARAMA #1087,87.86,CAD,87.86,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P03445,FAIRMOUNT-SPORTS&REC-CAMPS-SUMMER CAMPS,5310,Discount Stores,"CRAYOLAS, BOWLS, GLUE STICKS, TABLECLOTHS"
"PARKS, FORESTRY & RECREATION",5297-161,7/10/2019,7/10/2019,JUST FOR FUN  PARTY AN,134.47,CAD,134.47,CAD,4118,TICKETS AND ADMISSION FEES,P03445,FAIRMOUNT-SPORTS&REC-CAMPS-SUMMER CAMPS,7996,"Amusement Parks, Carnivals, Circuses, Fo",CAMP TRIP
"PARKS, FORESTRY & RECREATION",5298-460,7/12/2019,7/15/2019,SQ  MUSEUM OF ILLUSION,150.01,CAD,150.01,CAD,4118,TICKETS AND ADMISSION FEES,P03445,FAIRMOUNT-SPORTS&REC-CAMPS-SUMMER CAMPS,7929,"Bands, Orchestras, and Miscellaneous Ent",DEPOSIT FOR JULY 25 CAMP TRIP
"PARKS, FORESTRY & RECREATION",5298-461,7/12/2019,7/15/2019,LOBLAWS 4.2,28.63,CAD,28.63,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P03445,FAIRMOUNT-SPORTS&REC-CAMPS-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets","STRWBRY SYRUP, VANILLA, BAGUETTE"
"PARKS, FORESTRY & RECREATION",5298-462,7/14/2019,7/15/2019,COSTCO WHOLESALE W1169,53.73,CAD,53.73,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P03445,FAIRMOUNT-SPORTS&REC-CAMPS-SUMMER CAMPS,5300,Wholesale Clubs,"FREEZIES, MICRO POPS, ASSORTED DRINKS"
"PARKS, FORESTRY & RECREATION",5298-463,7/14/2019,7/15/2019,DOLLARAMA #1047,52.88,CAD,52.88,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P03445,FAIRMOUNT-SPORTS&REC-CAMPS-SUMMER CAMPS,5310,Discount Stores,"CHENILLE, GARDEN STONES, FOAM STICKERS"
"PARKS, FORESTRY & RECREATION",5298-464,7/11/2019,7/15/2019,SQ  JOHN PARK COMEDY J,173.42,CAD,173.42,CAD,4118,TICKETS AND ADMISSION FEES,P03445,FAIRMOUNT-SPORTS&REC-CAMPS-SUMMER CAMPS,8999,Professional Services - Not Elsewhere Cl,JUGGLING PROGRAM
"PARKS, FORESTRY & RECREATION",5299-112,7/14/2019,7/16/2019,WMT SUPRCTR #1126,69.58,CAD,69.58,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P03445,FAIRMOUNT-SPORTS&REC-CAMPS-SUMMER CAMPS,5411,"Grocery Stores, Supermarkets","MARKERS, SCISSORS, FLOUR"
"PARKS, FORESTRY & RECREATION",5302-174,7/18/2019,7/19/2019,SQ      SQ  SCOTT KAIJ,180.80,CAD,180.80,CAD,4118,TICKETS AND ADMISSION FEES,P03445,FAIRMOUNT-SPORTS&REC-CAMPS-SUMMER CAMPS,7929,"Bands, Orchestras, and Miscellaneous Ent",PRESCHOOL CAMP - CLOWN SHOW
"PARKS, FORESTRY & RECREATION",5304-128,7/22/2019,7/23/2019,MICHAELS #4921,45.80,CAD,45.80,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P03445,FAIRMOUNT-SPORTS&REC-CAMPS-SUMMER CAMPS,5945,"Game, Toy, and Hobby Shops",ART SUPPLIES
"PARKS, FORESTRY & RECREATION",5308-219,7/25/2019,7/29/2019,PAYPAL  HOOPERSONIC,150.00,CAD,150.00,CAD,4118,TICKETS AND ADMISSION FEES,P03445,FAIRMOUNT-SPORTS&REC-CAMPS-SUMMER CAMPS,7929,"Bands, Orchestras, and Miscellaneous Ent",DAY CAMP - JR HOOP EVENT
"PARKS, FORESTRY & RECREATION",5308-220,7/27/2019,7/29/2019,WAL-MART # 3031,111.87,CAD,111.87,CAD,3050,M & E - KITCHEN,P03445,FAIRMOUNT-SPORTS&REC-CAMPS-SUMMER CAMPS,5310,Discount Stores,MICROWAVE
"PARKS, FORESTRY & RECREATION",5308-221,7/27/2019,7/29/2019,WAL-MART # 3031,43.73,CAD,43.73,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P03445,FAIRMOUNT-SPORTS&REC-CAMPS-SUMMER CAMPS,5310,Discount Stores,"RULERS, WALL CLOCK, TAB DIVIDERS"
,,,,,"1,553.92",CAD,"1,553.92",CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5303-265,7/19/2019,7/22/2019,INTERNATIONAL DISTRIBU,"2,406.65",CAD,"2,406.65",CAD,2730,LOCKS,P07701,GOULDING CC-OPERATIONS,5046,Commercial Equipment Not Elsewhere Class,VERTICAL ROD EXIT DEVICE FIRE RATED
,,,,,"2,406.65",CAD,"2,406.65",CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5296-176,7/9/2019,7/9/2019,PLAYTIME BOWL,"1,568.25",CAD,"1,568.25",CAD,4118,TICKETS AND ADMISSION FEES,P04891,MCCORMICK RC-SUMMER CAMPS,7933,Bowling Alleys,TRIP TO PLANET MOVE
"PARKS, FORESTRY & RECREATION",5297-162,7/10/2019,7/10/2019,PIRATE LIFE,278.70,CAD,278.70,CAD,4118,TICKETS AND ADMISSION FEES,P04891,MCCORMICK RC-SUMMER CAMPS,7991,Tourist Attractions and Exhibits,TRIP TP PIRATE LIFE
"PARKS, FORESTRY & RECREATION",5298-465,7/11/2019,7/15/2019,MEDTECH GROUP,246.03,CAD,246.03,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P10449,MCCORMICK RC-PRGM SUPPORT,5999,Miscellaneous and Specialty Retail Store,CAMP BRACLETS
"PARKS, FORESTRY & RECREATION",5303-266,7/19/2019,7/22/2019,PIRATE LIFE,553.70,CAD,553.70,CAD,4118,TICKETS AND ADMISSION FEES,P04891,MCCORMICK RC-SUMMER CAMPS,7991,Tourist Attractions and Exhibits,TRIP TO PIRATE LIFE
"PARKS, FORESTRY & RECREATION",5307-208,7/25/2019,7/26/2019,LOWES #03096,46.08,CAD,46.08,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P02740,WALLACE EMERSON-LEISURE/PBLC-INDR,5200,Home Supply Warehouse,AQUATICS ROPE - BUOY LINE
"PARKS, FORESTRY & RECREATION",5307-209,7/25/2019,7/26/2019,COSTCO WHOLESALE W524,120.83,CAD,120.83,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P13057,GEN INTRST & CLUBS - DUFFERIN GROVE PARK,5300,Wholesale Clubs,CAMP TREAT / SUPPLIES
"PARKS, FORESTRY & RECREATION",5307-210,7/25/2019,7/26/2019,LOWES #03096,35.53,CAD,35.53,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P10449,MCCORMICK RC-PRGM SUPPORT,5200,Home Supply Warehouse,ROPE FROR CAMP
,,,,,"2,849.12",CAD,"2,849.12",CAD,,,,,,,
EMPLOYMENT & SOCIAL SERVICES,5298-466,7/12/2019,7/15/2019,THE HOME DEPOT #7011,33.88,CAD,33.88,CAD,4995,OTHER EXPENSES,C01211,QUEENSWAY ADMIN,5200,Home Supply Warehouse,"9.5"" REPLACEMENT WHEEL FOR OFFICE CART"
,,,,,33.88,CAD,33.88,CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5293-92,7/5/2019,7/5/2019,ANGELO S ELECTRIC LTD,596.27,CAD,596.27,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,P00853,ALNESS YD-TRADES,7629,"Appliance Repair Shops, Electrical and S",MATERIALS  SUPLPLES
"PARKS, FORESTRY & RECREATION",5298-467,7/11/2019,7/15/2019,DAYVAN,268.04,CAD,268.04,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,P00415,N-WEST3-TURF&HORT,5251,Hardware Stores,WEATHER STRIP KITS
"PARKS, FORESTRY & RECREATION",5302-175,7/18/2019,7/19/2019,MONARCH PAINTS,272.67,CAD,272.67,CAD,2715,PAINT SUPPLIES,P07703,IW HAPLEY CC-OPERATIONS,5231,"Glass, Paint, Wallpaper Stores",PAINT SUPPLIES
"PARKS, FORESTRY & RECREATION",5302-176,7/18/2019,7/19/2019,MONARCH PAINTS,264.14,CAD,264.14,CAD,2715,PAINT SUPPLIES,P07659,DOUGLAS SNOW-OPERATIONS,5231,"Glass, Paint, Wallpaper Stores",PAINTS SUPPLIES
"PARKS, FORESTRY & RECREATION",5308-222,7/26/2019,7/29/2019,COMMERCIAL DOOR & HARD,360.81,CAD,360.81,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,P03037,YORK MILLS-OPERATIONS,5072,Hardware Equipment and Supplies,HARDWARE - VAULT DOORS
"PARKS, FORESTRY & RECREATION",5308-223,7/26/2019,7/29/2019,COMMERCIAL DOOR & HARD,513.59,CAD,513.59,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,P00853,ALNESS YD-TRADES,5072,Hardware Equipment and Supplies,FRAME / DOOR HARWARE
"PARKS, FORESTRY & RECREATION",5309-133,7/29/2019,7/30/2019,CANADA GLASS & MIRROR,791.90,CAD,791.90,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,P00853,ALNESS YD-TRADES,5039,Construction Materials Not Elsewhere Cla,GLASS/ WIRE
,,,,,"3,067.42",CAD,"3,067.42",CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5288-146,6/29/2019,7/1/2019,DOLLAR TREE #40249,77.79,CAD,77.79,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04640,CHALKFARM-SUMMER CAMPS,5331,Variety Stores,"POSTERS, BORDER, LABELS, LAMINATING SHEETS"
"PARKS, FORESTRY & RECREATION",5288-147,6/29/2019,7/1/2019,SCHOLAR S CHOICE,36.11,CAD,36.11,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P11560,CHALKFARM-SPORTS,5949,"Fabric, Needlework, Piece Goods, and Sew","FOAM CUBES, CALENDAR"
"PARKS, FORESTRY & RECREATION",5288-148,6/29/2019,7/1/2019,WAL*MART CANADA INC,78.86,CAD,78.86,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04640,CHALKFARM-SUMMER CAMPS,5310,Discount Stores,WAIST BAG
"PARKS, FORESTRY & RECREATION",5288-149,6/29/2019,7/1/2019,CDN TIRE STORE #00305,40.60,CAD,40.60,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P04640,CHALKFARM-SUMMER CAMPS,5200,Home Supply Warehouse,"TILES, TOTES"
